window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
3,DQN,1,250000,6.477115769042774e-05,840506,98.2,108.82,20.3,19.17,1.0589,1.3636,-24.86,0.8167,56.87,1004,0.2003
3,DQN,2,250000,1.722376630826443e-05,443154,95.8,128.42,23.04,18.41,1.2516,1.5944,-22.98,1.0025,56.37,1004,0.1461
3,DQN,3,250000,0.0008072245760183793,679315,98.1,83.95,16.53,18.87,0.8762,1.1345,-24.83,0.6658,56.47,1004,0.2333
3,DQN,4,1000000,0.00023500733774725618,548786,404.0,94.89,18.23,19.49,0.9357,1.1774,-24.61,0.7409,56.47,1004,0.3039
3,DQN,5,1000000,0.00037393844157605164,877240,406.2,31.78,7.17,20.15,0.356,0.467,-34.26,0.2094,52.69,1004,0.4332
3,DQN,6,500000,0.0007803428007362641,943735,181.1,75.68,15.19,19.52,0.7784,0.9737,-32.5,0.4674,56.37,1004,0.3604
3,DQN,7,1000000,7.258868463208421e-05,555432,386.7,72.83,14.72,19.04,0.7732,0.9783,-27.98,0.526,55.58,1004,0.2377
3,DQN,8,1000000,0.00029231985896353043,196891,396.3,104.15,19.62,18.56,1.0571,1.3363,-21.7,0.9043,56.57,1004,0.2476
3,DQN,9,500000,9.429882825066037e-05,554793,179.2,111.32,20.66,18.36,1.1249,1.4318,-22.46,0.9198,56.37,1004,0.1154
3,DQN,10,1000000,0.003876878367828602,496542,355.6,137.48,24.25,17.17,1.4123,1.7999,-21.87,1.1086,57.17,1004,0.0236
3,DQN,11,500000,0.0001887696779858488,295369,180.9,94.98,18.25,18.34,0.995,1.2486,-23.75,0.7683,57.07,1004,0.235
3,DQN,12,500000,0.0009147835000373729,631570,192.7,69.33,14.13,18.28,0.773,1.0128,-22.29,0.6339,55.78,1004,0.3992
3,DQN,13,500000,0.00031124098258551584,743417,180.3,51.67,11.02,18.29,0.6026,0.789,-24.52,0.4495,55.38,1004,0.2292
3,DQN,14,1000000,0.0006934566676219892,95265,355.3,136.26,24.09,19.27,1.2498,1.6531,-22.2,1.0847,55.58,1004,0.3691
3,DQN,15,500000,0.00013145080587958303,103080,193.2,90.72,17.59,18.52,0.9501,1.2166,-23.39,0.752,56.27,1004,0.1789
