window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
6,DQN,1,500000,0.0010391876576319424,773921,199.2,64.47,13.27,29.75,0.4461,0.5646,-40.85,0.325,52.98,1006,0.3071
6,DQN,2,500000,0.00012073804456673113,293590,196.6,76.04,15.22,32.18,0.473,0.615,-43.03,0.3537,51.69,1006,0.1887
6,DQN,3,250000,0.002583823466310695,69639,91.2,76.9,15.36,29.63,0.5184,0.7222,-32.66,0.4703,52.39,1006,0.2113
6,DQN,4,500000,0.007675197838845247,464610,179.6,113.13,20.87,28.18,0.7405,0.9828,-32.94,0.6336,53.38,1006,0.0032
6,DQN,5,500000,0.00046509676957290884,682281,185.2,61.15,12.7,31.1,0.4082,0.5166,-40.75,0.3115,52.78,1006,0.2868
6,DQN,6,250000,0.0003284998396075156,412798,87.6,48.22,10.36,28.97,0.3577,0.4803,-36.87,0.281,51.99,1006,0.3072
6,DQN,7,1000000,1.292729150950075e-05,767586,361.6,68.63,13.98,29.84,0.4686,0.6305,-34.45,0.4059,52.58,1006,0.177
6,DQN,8,250000,1.819958263383297e-05,719638,88.1,67.59,13.81,27.72,0.4982,0.6438,-36.74,0.3758,52.49,1006,0.2085
6,DQN,9,250000,0.0018984442829613165,29783,93.4,52.43,11.14,32.58,0.3418,0.4449,-39.76,0.2801,52.29,1006,0.259
6,DQN,10,250000,0.0006225369264857733,812608,87.4,24.79,5.7,30.92,0.1844,0.2316,-43.46,0.1312,53.18,1006,0.2259
6,DQN,11,250000,0.0006066476390210914,596482,95.2,53.02,11.24,31.87,0.3528,0.4525,-41.63,0.2701,52.88,1006,0.2325
6,DQN,12,1000000,2.7679336314781122e-05,35609,376.7,100.28,19.0,28.62,0.664,0.9177,-33.57,0.566,52.39,1006,0.1911
6,DQN,13,1000000,0.0010003193205986012,811012,357.7,71.22,14.42,28.57,0.5047,0.6855,-34.46,0.4185,52.19,1006,0.2784
6,DQN,14,500000,0.000271627416761054,734114,183.2,45.64,9.88,27.03,0.3654,0.4845,-33.01,0.2992,52.88,1006,0.1863
6,DQN,15,250000,0.0001685518083640112,777114,91.6,103.98,19.55,27.18,0.7193,0.9637,-30.71,0.6366,53.98,1006,0.1157
