window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
6,PPO,1,500000,7.733426152746267e-05,414885,151.4,103.89,19.54,27.96,0.6988,0.9258,-32.92,0.5935,54.17,1006,0.041
6,PPO,2,1000000,2.576903351315548e-05,322054,298.8,109.83,20.4,28.13,0.7251,0.9537,-33.26,0.6134,53.88,1006,0.0134
6,PPO,3,250000,0.0002121587860099,79525,78.3,99.55,18.89,28.42,0.6647,0.8869,-33.61,0.5622,52.78,1006,0.076
6,PPO,4,1000000,0.0001683299506549,967187,305.8,93.0,17.9,28.0,0.6395,0.8484,-32.84,0.5452,53.78,1006,0.0765
6,PPO,5,1000000,6.976572745121807e-05,860614,309.7,99.64,18.91,28.86,0.6552,0.8733,-33.98,0.5565,52.98,1006,0.0758
6,PPO,6,500000,0.0001400401635719,517005,156.5,99.0,18.81,28.1,0.6695,0.8866,-33.6,0.56,52.98,1006,0.0677
6,PPO,7,250000,0.0023225861491478,821022,75.6,136.29,24.04,29.51,0.8144,1.0859,-32.9,0.7307,54.47,1006,0.0007
6,PPO,8,250000,0.0023620262253543,77419,75.2,113.31,20.9,29.16,0.7167,0.9618,-33.6,0.622,52.98,1006,0.0008
6,PPO,9,1000000,1.882659328037308e-05,551445,300.2,107.54,20.07,28.88,0.6949,0.9206,-34.25,0.5859,53.58,1006,0.0134
6,PPO,10,500000,2.185473330048864e-05,958223,149.3,101.43,19.17,28.21,0.6796,0.8984,-33.73,0.5684,54.17,1006,0.0129
6,PPO,11,500000,0.0003368152779357,439380,148.9,114.57,21.08,28.45,0.7408,0.9906,-33.12,0.6364,52.98,1006,0.0522
6,PPO,12,500000,3.250806616852211e-05,524863,149.7,107.61,20.08,27.83,0.7216,0.9534,-33.09,0.6068,53.28,1006,0.0174
6,PPO,13,250000,0.0003355672834904,650860,75.0,90.81,17.57,28.22,0.6226,0.8206,-33.93,0.5179,53.38,1006,0.0521
6,PPO,14,1000000,0.0003114103920524,420633,302.7,89.63,17.39,28.74,0.6049,0.7915,-34.39,0.5055,54.47,1006,0.0587
6,PPO,15,1000000,0.0026191045428387,918083,298.9,126.24,22.69,29.12,0.7792,1.0439,-33.68,0.6739,53.58,1006,0.0006
