window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
4,PPO,1,1000000,0.0002479159868128,250401,314.4,147.31,25.49,25.48,1.0004,1.1594,-32.51,0.784,57.01,1005,0.1076
4,PPO,2,500000,0.0004856386067212,328434,156.6,197.66,31.46,25.63,1.2276,1.4559,-31.18,1.0088,57.31,1005,0.027
4,PPO,3,1000000,7.955241082210928e-05,595941,310.5,166.63,27.88,25.58,1.09,1.2682,-33.39,0.835,57.71,1005,0.0803
4,PPO,4,250000,0.0001000553831178,564836,77.1,172.5,28.58,25.54,1.1189,1.3146,-33.13,0.8625,56.72,1005,0.0333
4,PPO,5,500000,0.0006842843257268,198045,152.1,175.28,28.91,25.42,1.137,1.3224,-34.24,0.8442,57.11,1005,0.0028
4,PPO,6,1000000,2.839272846962572e-05,436546,305.6,160.91,27.18,25.16,1.0803,1.2711,-33.07,0.822,56.82,1005,0.0308
4,PPO,7,250000,0.0003752532415415,210810,76.0,163.62,27.51,25.71,1.0703,1.2537,-32.37,0.85,56.72,1005,0.0919
4,PPO,8,250000,0.0001339532288417,365786,78.0,170.17,28.3,25.1,1.1274,1.3087,-32.75,0.8643,57.71,1005,0.0322
4,PPO,9,250000,6.327654373659924e-05,827949,77.0,163.37,27.48,25.36,1.0838,1.2775,-32.47,0.8463,56.92,1005,0.0279
4,PPO,10,1000000,4.242351917249323e-05,720637,309.6,179.93,29.45,25.37,1.161,1.3567,-33.6,0.8765,57.31,1005,0.0659
4,PPO,11,1000000,2.2792459567323752e-05,921946,314.3,175.86,28.97,25.7,1.1274,1.3175,-33.4,0.8675,57.51,1005,0.0283
4,PPO,12,250000,0.0003946489289863,757832,76.9,143.61,25.02,24.45,1.0232,1.1896,-32.41,0.7718,56.22,1005,0.0872
4,PPO,13,1000000,0.000269973345437,116270,307.2,160.29,27.11,25.2,1.0759,1.2842,-30.84,0.8791,56.72,1005,0.1373
4,PPO,14,250000,0.0002697185350797,427822,76.5,173.74,28.72,25.81,1.1129,1.2991,-33.63,0.8541,57.91,1005,0.0746
4,PPO,15,250000,0.0003367780890549,663723,77.9,164.7,27.64,25.13,1.0999,1.288,-31.76,0.8704,56.72,1005,0.072
