window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
2,PPO,1,500000,0.0001571248126885,838457,166.6,67.1,13.75,18.18,0.7567,0.9757,-23.62,0.5823,56.08,1004,0.0881
2,PPO,2,500000,0.0007483777249842,314160,157.6,65.44,13.47,18.02,0.7475,0.9592,-24.94,0.54,55.98,1004,0.0163
2,PPO,3,1000000,0.0004651252153946,361519,313.0,59.21,12.38,18.66,0.6634,0.8568,-25.82,0.4795,55.38,1004,0.05
2,PPO,4,500000,0.0026177782389024,982030,169.6,84.32,16.59,18.95,0.8756,1.1251,-24.41,0.6795,56.57,1004,0.0007
2,PPO,5,500000,6.20870917760126e-05,22894,187.5,62.49,12.96,18.19,0.7122,0.9222,-23.65,0.5478,54.88,1004,0.0559
2,PPO,6,250000,0.0002402899531467,902385,80.5,52.12,11.1,18.02,0.6163,0.7934,-23.97,0.4632,55.08,1004,0.0831
2,PPO,7,1000000,0.0001886177161405,164187,311.3,53.54,11.36,18.38,0.6183,0.803,-23.49,0.4837,55.28,1004,0.1919
2,PPO,8,1000000,0.0023292937561748,651740,307.8,80.51,15.98,18.11,0.8825,1.1414,-22.14,0.7217,55.98,1004,0.0006
2,PPO,9,500000,1.1351140482137804e-05,574272,150.7,71.5,14.5,18.11,0.8006,1.0332,-23.48,0.6175,55.48,1004,0.0035
2,PPO,10,250000,0.0024651656346884,167194,76.3,70.96,14.41,18.12,0.7952,1.0333,-22.81,0.6317,56.57,1004,0.0008
2,PPO,11,500000,1.6236153231649176e-05,240372,151.8,71.29,14.46,17.99,0.8038,1.0354,-23.16,0.6244,55.48,1004,0.0069
2,PPO,12,1000000,1.6270855845945585e-05,779301,312.5,63.79,13.18,17.8,0.7406,0.9595,-23.44,0.5625,54.78,1004,0.0121
2,PPO,13,1000000,0.0059937826310935,78446,302.8,64.52,13.31,18.24,0.7299,0.9433,-23.79,0.5596,55.58,1004,0.0006
2,PPO,14,1000000,0.0001320069190555,196707,300.3,47.35,10.22,18.05,0.5662,0.734,-23.58,0.4334,54.28,1004,0.1148
2,PPO,15,1000000,5.8563055936787633e-05,529008,298.8,51.05,10.91,18.26,0.5972,0.7768,-24.53,0.4446,55.28,1004,0.121
